"","name","age","cost","character","flavor","place"
"1","Ardberg",10,60,9.8,1.2,"Islay"
"2","Bowmore",12,51,7.6,6.3,"Islay"
"3","Bruichladdich",15,171,5.4,6.2,"Islay"
"4","Bunnahabhain",12,63,2.8,6.6,"Islay"
"5","Caol-Ila",12,63,8.8,4.1,"Islay"
"6","Lagavulin",16,79,9.2,7.7,"Islay"
"7","Lagavulin-Distillers",0,570,8.8,9.4,"Islay"
"8","Laphroaig",10,58,9.2,2.3,"Islay"
"9","anCnoc",12,44,4.2,3.4,"Highland"
"10","Arran",10,50,3.8,3.9,"Highland"
"11","Arran",14,63,4.2,4.8,"Highland"
"12","Dalwhinnie",15,56,4.9,3.4,"Highland"
"13","Glenmorangie-Original",0,49,3.4,4.9,"Highland"
"14","Glen-Ord",12,160,6.9,4.2,"Highland"
"15","Highland-Park",12,46,7.2,6.6,"Highland"
"16","Jura-Origin",0,49,3.2,3,"Highland"
"17","Oban",14,71,5.8,4.9,"Highland"
"18","Old-Pulteney",12,48,6.2,6.2,"Highland"
"19","Royal-Lochnagar",12,53,4,4,"Highland"
"20","Talisker",10,55,8.2,4.3,"Highland"
"21","Talisker",18,106,7.6,7.3,"Highland"
"22","Balvenie-DoubleWood",12,55,3.8,7.5,"Speyside"
"23","BenRiach",16,93,7.1,5.1,"Speyside"
"24","Cardhu",12,54,4.6,3.8,"Speyside"
"25","Cragganmore",12,51,6,6.4,"Speyside"
"26","Cragganmore-Distillery",0,83,6,8.5,"Speyside"
"27","Dailuaine",16,79,4.9,9.1,"Speyside"
"28","Glenfiddich",12,46,2.8,8.3,"Speyside"
"29","Glenfiddich",15,59,3.4,8.8,"Speyside"
"30","Glenfiddich",18,99,3.6,7.3,"Speyside"
"31","Glenfiddich",21,164,3.6,9,"Speyside"
"32","Glenfiddich",30,714,3.9,9.3,"Speyside"
"33","Glenlivet",12,65,3.4,4,"Speyside"
"34","Glenlivet",15,59,2,7.3,"Speyside"
"35","Glenlivet",18,129,2.6,8.9,"Speyside"
"36","Glenlivet",21,269,2.8,9,"Speyside"
"37","Glenlivet",25,500,3.4,9.2,"Speyside"
"38","Linkwood",12,67,4.2,2.6,"Speyside"
"39","Macallan",10,108,4.6,9.3,"Speyside"
"40","Singleton-of-Dufftown",12,52,4.9,7.3,"Speyside"
"41","Glenkinchie",12,55,3.6,2.8,"Lowland"
"42","Springbank",10,61,7,2.7,"Campbeltown"
