Country,Country,Year,Avg. Income,Avg. LifeExp,Pop
Zimbabwe,Zimbabwe,1800,869,33.7,1090000
Zambia,Zambia,1800,663,32.6,747000
Yemen,Yemen,1800,877,23.4,2590000
Venezuela,Venezuela,1800,682,32.2,718000
Vanuatu,Vanuatu,1800,585,24.3,27800
Uzbekistan,Uzbekistan,1800,502,26.9,1920000
Uruguay,Uruguay,1800,1760,32.9,55000
United States,United States,1800,2130,39.4,6800000
United Kingdom,United Kingdom,1800,3430,38.6,12300000
United Arab Emirates,United Arab Emirates,1800,998,30.7,40200
Ukraine,Ukraine,1800,763,36.6,11200000
Uganda,Uganda,1800,464,25.3,2100000
Turkey,Turkey,1800,1220,35,9770000
Tunisia,Tunisia,1800,715,28.8,862000
Trinidad and Tobago,Trinidad and Tobago,1800,1230,32.9,60000
Tonga,Tonga,1800,663,28.2,18700
Togo,Togo,1800,682,31.3,446000
Timor-Leste,Timor-Leste,1800,521,28.9,137000
Thailand,Thailand,1800,931,30.4,4670000
Tanzania,Tanzania,1800,562,32.2,3020000
Tajikistan,Tajikistan,1800,556,24.2,467000
Syria,Syria,1800,1080,31.1,1340000
Switzerland,Switzerland,1800,2700,38,1830000
Sweden,Sweden,1800,1410,32.2,2350000
Suriname,Suriname,1800,1640,32.9,80700
Sudan,Sudan,1800,518,31.4,3990000
St. Vincent and the Grenadines,St. Vincent and the Grenadines,1800,838,26,25800
St. Lucia,St. Lucia,1800,874,28,24000
Sri Lanka,Sri Lanka,1800,898,32.6,1210000
Spain,Spain,1800,1520,29.5,11500000
South Sudan,South Sudan,1800,507,26.7,1030000
South Korea,South Korea,1800,575,25.8,9400000
South Africa,South Africa,1800,1480,33.5,1440000
Somalia,Somalia,1800,694,29.4,991000
Solomon Islands,Solomon Islands,1800,363,25.1,57000
Slovenia,Slovenia,1800,1410,36.6,470000
Slovak Republic,Slovak Republic,1800,1430,36.4,2140000
Singapore,Singapore,1800,1020,29.1,30000
