cancer,year,sex,race,stage,age,summary_interval,starting_count,net_relative,net_rel_cum_cis_lower,net_rel_cum_cis_upper
all cancer sites,2000-2017,all sexes,white,invasive,all ages,0 mo,965876,100,NA,NA
all cancer sites,2000-2017,all sexes,white,invasive,all ages,12 mo,965876,79.1,79,79.2
all cancer sites,2000-2017,all sexes,white,invasive,all ages,24 mo,965876,72.6,72.5,72.7
all cancer sites,2000-2017,all sexes,white,invasive,all ages,36 mo,965876,69.1,68.9,69.2
all cancer sites,2000-2017,all sexes,white,invasive,all ages,48 mo,965876,66.6,66.5,66.7
all cancer sites,2000-2017,all sexes,white,invasive,all ages,60 mo,965876,64.7,64.6,64.8
all cancer sites,2000-2017,all sexes,white,invasive,all ages,72 mo,965876,63.1,62.9,63.2
all cancer sites,2000-2017,all sexes,white,invasive,all ages,84 mo,965876,61.7,61.5,61.8
all cancer sites,2000-2017,all sexes,white,invasive,all ages,96 mo,965876,60.3,60.1,60.4
all cancer sites,2000-2017,all sexes,white,invasive,all ages,108 mo,965876,58.9,58.8,59.1
all cancer sites,2000-2017,all sexes,white,invasive,all ages,120 mo,965876,57.7,57.5,57.9
all cancer sites,2000-2017,all sexes,white,invasive,<65,0 mo,433375,100,NA,NA
all cancer sites,2000-2017,all sexes,white,invasive,<65,12 mo,433375,87.1,86.9,87.2
all cancer sites,2000-2017,all sexes,white,invasive,<65,24 mo,433375,81.3,81.2,81.4
all cancer sites,2000-2017,all sexes,white,invasive,<65,36 mo,433375,78.1,78,78.3
all cancer sites,2000-2017,all sexes,white,invasive,<65,48 mo,433375,76,75.9,76.2
all cancer sites,2000-2017,all sexes,white,invasive,<65,60 mo,433375,74.5,74.3,74.6
all cancer sites,2000-2017,all sexes,white,invasive,<65,72 mo,433375,73.2,73,73.3
all cancer sites,2000-2017,all sexes,white,invasive,<65,84 mo,433375,72.2,72,72.3
all cancer sites,2000-2017,all sexes,white,invasive,<65,96 mo,433375,71.3,71.1,71.5
all cancer sites,2000-2017,all sexes,white,invasive,<65,108 mo,433375,70.5,70.4,70.7
all cancer sites,2000-2017,all sexes,white,invasive,<65,120 mo,433375,69.9,69.7,70
all cancer sites,2000-2017,all sexes,white,invasive,>65,0 mo,532501,100,NA,NA
all cancer sites,2000-2017,all sexes,white,invasive,>65,12 mo,532501,72.6,72.5,72.7
all cancer sites,2000-2017,all sexes,white,invasive,>65,24 mo,532501,65.6,65.4,65.7
all cancer sites,2000-2017,all sexes,white,invasive,>65,36 mo,532501,61.7,61.5,61.8
all cancer sites,2000-2017,all sexes,white,invasive,>65,48 mo,532501,58.9,58.8,59.1
all cancer sites,2000-2017,all sexes,white,invasive,>65,60 mo,532501,56.7,56.5,56.9
all cancer sites,2000-2017,all sexes,white,invasive,>65,72 mo,532501,54.8,54.6,55
all cancer sites,2000-2017,all sexes,white,invasive,>65,84 mo,532501,53.1,52.9,53.3
all cancer sites,2000-2017,all sexes,white,invasive,>65,96 mo,532501,51.3,51.1,51.6
all cancer sites,2000-2017,all sexes,white,invasive,>65,108 mo,532501,49.6,49.3,49.8
all cancer sites,2000-2017,all sexes,white,invasive,>65,120 mo,532501,48,47.7,48.2
all cancer sites,2000-2017,all sexes,white,early,all ages,0 mo,528613,100,NA,NA
all cancer sites,2000-2017,all sexes,white,early,all ages,12 mo,528613,96.5,96.4,96.6
all cancer sites,2000-2017,all sexes,white,early,all ages,24 mo,528613,94.8,94.7,94.8
all cancer sites,2000-2017,all sexes,white,early,all ages,36 mo,528613,93.5,93.4,93.6
all cancer sites,2000-2017,all sexes,white,early,all ages,48 mo,528613,92.4,92.3,92.5
all cancer sites,2000-2017,all sexes,white,early,all ages,60 mo,528613,91.4,91.3,91.5
all cancer sites,2000-2017,all sexes,white,early,all ages,72 mo,528613,90.4,90.3,90.6
all cancer sites,2000-2017,all sexes,white,early,all ages,84 mo,528613,89.5,89.3,89.6
all cancer sites,2000-2017,all sexes,white,early,all ages,96 mo,528613,88.3,88.1,88.5
all cancer sites,2000-2017,all sexes,white,early,all ages,108 mo,528613,87.2,86.9,87.4
all cancer sites,2000-2017,all sexes,white,early,all ages,120 mo,528613,86,85.8,86.3
all cancer sites,2000-2017,all sexes,white,early,<65,0 mo,262719,100,NA,NA
all cancer sites,2000-2017,all sexes,white,early,<65,12 mo,262719,98.4,98.4,98.5
all cancer sites,2000-2017,all sexes,white,early,<65,24 mo,262719,97.1,97.1,97.2
all cancer sites,2000-2017,all sexes,white,early,<65,36 mo,262719,96.3,96.2,96.4
all cancer sites,2000-2017,all sexes,white,early,<65,48 mo,262719,95.6,95.5,95.7
all cancer sites,2000-2017,all sexes,white,early,<65,60 mo,262719,95,94.9,95.1
all cancer sites,2000-2017,all sexes,white,early,<65,72 mo,262719,94.5,94.3,94.6
all cancer sites,2000-2017,all sexes,white,early,<65,84 mo,262719,94,93.9,94.1
all cancer sites,2000-2017,all sexes,white,early,<65,96 mo,262719,93.6,93.4,93.7
all cancer sites,2000-2017,all sexes,white,early,<65,108 mo,262719,93.2,93,93.4
all cancer sites,2000-2017,all sexes,white,early,<65,120 mo,262719,92.9,92.7,93
all cancer sites,2000-2017,all sexes,white,early,>65,0 mo,265894,100,NA,NA
all cancer sites,2000-2017,all sexes,white,early,>65,12 mo,265894,94.6,94.5,94.7
all cancer sites,2000-2017,all sexes,white,early,>65,24 mo,265894,92.4,92.3,92.6
all cancer sites,2000-2017,all sexes,white,early,>65,36 mo,265894,90.8,90.6,91
all cancer sites,2000-2017,all sexes,white,early,>65,48 mo,265894,89.3,89.1,89.5
all cancer sites,2000-2017,all sexes,white,early,>65,60 mo,265894,87.8,87.6,88.1
all cancer sites,2000-2017,all sexes,white,early,>65,72 mo,265894,86.4,86.2,86.7
all cancer sites,2000-2017,all sexes,white,early,>65,84 mo,265894,85,84.7,85.3
all cancer sites,2000-2017,all sexes,white,early,>65,96 mo,265894,83.2,82.8,83.5
all cancer sites,2000-2017,all sexes,white,early,>65,108 mo,265894,81.2,80.8,81.6
all cancer sites,2000-2017,all sexes,white,early,>65,120 mo,265894,79.3,78.9,79.8
all cancer sites,2000-2017,all sexes,white,late,all ages,0 mo,437239,100,NA,NA
all cancer sites,2000-2017,all sexes,white,late,all ages,12 mo,437239,65.2,65.1,65.4
all cancer sites,2000-2017,all sexes,white,late,all ages,24 mo,437239,54.2,54.1,54.4
all cancer sites,2000-2017,all sexes,white,late,all ages,36 mo,437239,48.3,48.2,48.5
all cancer sites,2000-2017,all sexes,white,late,all ages,48 mo,437239,44.6,44.4,44.8
all cancer sites,2000-2017,all sexes,white,late,all ages,60 mo,437239,41.8,41.6,42
all cancer sites,2000-2017,all sexes,white,late,all ages,72 mo,437239,39.6,39.4,39.8
all cancer sites,2000-2017,all sexes,white,late,all ages,84 mo,437239,37.8,37.6,38
all cancer sites,2000-2017,all sexes,white,late,all ages,96 mo,437239,36.2,36,36.4
all cancer sites,2000-2017,all sexes,white,late,all ages,108 mo,437239,34.8,34.6,35
all cancer sites,2000-2017,all sexes,white,late,all ages,120 mo,437239,33.5,33.3,33.7
all cancer sites,2000-2017,all sexes,white,late,<65,0 mo,191118,100,NA,NA
all cancer sites,2000-2017,all sexes,white,late,<65,12 mo,191118,75.7,75.5,75.9
all cancer sites,2000-2017,all sexes,white,late,<65,24 mo,191118,65.2,65,65.4
all cancer sites,2000-2017,all sexes,white,late,<65,36 mo,191118,59.5,59.2,59.7
all cancer sites,2000-2017,all sexes,white,late,<65,48 mo,191118,55.8,55.6,56
all cancer sites,2000-2017,all sexes,white,late,<65,60 mo,191118,53.1,52.9,53.4
all cancer sites,2000-2017,all sexes,white,late,<65,72 mo,191118,51.1,50.9,51.4
all cancer sites,2000-2017,all sexes,white,late,<65,84 mo,191118,49.6,49.3,49.8
all cancer sites,2000-2017,all sexes,white,late,<65,96 mo,191118,48.2,47.9,48.5
all cancer sites,2000-2017,all sexes,white,late,<65,108 mo,191118,47,46.8,47.3
all cancer sites,2000-2017,all sexes,white,late,<65,120 mo,191118,45.9,45.7,46.2
all cancer sites,2000-2017,all sexes,white,late,>65,0 mo,246121,100,NA,NA
all cancer sites,2000-2017,all sexes,white,late,>65,12 mo,246121,57.1,56.9,57.3
all cancer sites,2000-2017,all sexes,white,late,>65,24 mo,246121,45.7,45.5,45.9
