"","id","state_fips","county_fips","name","year","rate","county","state","fips"
"1","CN010010",1,1,"Autauga County, AL",2009,9.7,"autauga","AL",1001
"2","PA011000",1,3,"Baldwin County, AL",2009,9.1,"baldwin","AL",1003
"3","CN010050",1,5,"Barbour County, AL",2009,13.4,"barbour","AL",1005
"4","CN010070",1,7,"Bibb County, AL",2009,12.1,"bibb","AL",1007
"5","CN010090",1,9,"Blount County, AL",2009,9.9,"blount","AL",1009
"6","CN010110",1,11,"Bullock County, AL",2009,16.4,"bullock","AL",1011
"7","CN010130",1,13,"Butler County, AL",2009,16.7,"butler","AL",1013
"8","PA010250",1,15,"Calhoun County, AL",2009,10.8,"calhoun","AL",1015
"9","CN010170",1,17,"Chambers County, AL",2009,18.6,"chambers","AL",1017
"10","CN010190",1,19,"Cherokee County, AL",2009,11.8,"cherokee","AL",1019
"11","CN010210",1,21,"Chilton County, AL",2009,9.9,"chilton","AL",1021
"12","CN010230",1,23,"Choctaw County, AL",2009,12.7,"choctaw","AL",1023
"13","CN010250",1,25,"Clarke County, AL",2009,17,"clarke","AL",1025
"14","CN010270",1,27,"Clay County, AL",2009,15.9,"clay","AL",1027
"15","CN010290",1,29,"Cleburne County, AL",2009,10.4,"cleburne","AL",1029
"16","CN010310",1,31,"Coffee County, AL",2009,8.5,"coffee","AL",1031
"17","PA010900",1,33,"Colbert County, AL",2009,11.4,"colbert","AL",1033
"18","CN010350",1,35,"Conecuh County, AL",2009,19.5,"conecuh","AL",1035
"19","CN010370",1,37,"Coosa County, AL",2009,14,"coosa","AL",1037
"20","CN010390",1,39,"Covington County, AL",2009,10.1,"covington","AL",1039
"21","CN010410",1,41,"Crenshaw County, AL",2009,9.7,"crenshaw","AL",1041
"22","PA010400",1,43,"Cullman County, AL",2009,9.6,"cullman","AL",1043
"23","PA010450",1,45,"Dale County, AL",2009,9.3,"dale","AL",1045
"24","PA010500",1,47,"Dallas County, AL",2009,21.1,"dallas","AL",1047
"25","PA010270",1,49,"DeKalb County, AL",2009,14.3,"dekalb","AL",1049
"26","CN010510",1,51,"Elmore County, AL",2009,9,"elmore","AL",1051
"27","CN010530",1,53,"Escambia County, AL",2009,12.9,"escambia","AL",1053
"28","PS010010",1,55,"Etowah County, AL",2009,10.7,"etowah","AL",1055
"29","CN010570",1,57,"Fayette County, AL",2009,12.8,"fayette","AL",1057
"30","CN010590",1,59,"Franklin County, AL",2009,12.3,"franklin","AL",1059
"31","CN010610",1,61,"Geneva County, AL",2009,10,"geneva","AL",1061
"32","CN010630",1,63,"Greene County, AL",2009,14.7,"greene","AL",1063
"33","CN010650",1,65,"Hale County, AL",2009,12.7,"hale","AL",1065
"34","CN010670",1,67,"Henry County, AL",2009,9.9,"henry","AL",1067
