"","fips","unemp"
"1","01001",5.3
"2","01003",5.4
"3","01005",8.6
"4","01007",6.6
"5","01009",5.5
"6","01011",7.2
"7","01013",7.1
"8","01015",6.7
"9","01017",5.5
"10","01019",5.2
"11","01021",5.6
"12","01023",8.9
"13","01025",11.1
"14","01027",6.2
"15","01029",6.1
"16","01031",6.1
"17","01033",7
"18","01035",8.6
"19","01037",6.1
"20","01039",7
"21","01041",6
"22","01043",5.1
"23","01045",5.9
"24","01047",9.4
"25","01049",6.2
"26","01051",4.9
"27","01053",6.7
"28","01055",6
"29","01057",7
"30","01059",6.1
"31","01061",5.9
"32","01063",10.1
"33","01065",7.8
"34","01067",6.6
"35","01069",5.9
"36","01071",6.4
"37","01073",5.9
"38","01075",5.7
"39","01077",6.4
"40","01079",7
"41","01081",5.3
"42","01083",5.3
"43","01085",10.8
"44","01087",7.7
"45","01089",5.2
"46","01091",7.4
"47","01093",6.7
"48","01095",5.5
"49","01097",6.9
"50","01099",9.4
"51","01101",5.9
"52","01103",5.6
"53","01105",10.6
"54","01107",6.9
"55","01109",6.4
"56","01111",5.7
"57","01113",5.6
"58","01115",5.3
"59","01117",4.4
"60","01119",7.8
"61","01121",6.8
"62","01123",5.6
"63","01125",5.8
"64","01127",7.6
"65","01129",8.7
"66","01131",14.7
"67","01133",7.3
"68","02013",2.7
"69","02016",3.3
"70","02020",5.3
"71","02050",14.1
"72","02060",6.9
"73","02068",8.6
"74","02070",9.7
"75","02090",5.7
"76","02100",9.8
"77","02105",11.5
"78","02110",4.4
"79","02122",8.2
"80","02130",6.2
"81","02150",5
"82","02158",21.3
"83","02164",12.3
"84","02170",8.1
"85","02180",12.5
"86","02185",6.5
"87","02188",15.7
"88","02195",8.6
"89","02198",11.7
"90","02220",4.3
"91","02230",10.6
"92","02240",10.2
"93","02261",8.2
"94","02275",7.3
"95","02282",8.1
"96","02290",17.2
"97","04001",11.3
"98","04003",6.1
"99","04005",5.9
"100","04007",7.2
"101","04009",6.7
"102","04011",7.6
"103","04012",6
"104","04013",4.5
"105","04015",6.6
"106","04017",8.1
"107","04019",4.9
"108","04021",5.5
"109","04023",9.9
"110","04025",4.9
"111","04027",18.6
"112","05001",3.5
"113","05003",6.3
"114","05005",4.3
"115","05007",2.9
"116","05009",3.7
"117","05011",5.2
"118","05013",4.7
"119","05015",3.6
"120","05017",6.6
"121","05019",4.5
"122","05021",5.7
"123","05023",6
"124","05025",4.6
"125","05027",5.8
"126","05029",5.8
"127","05031",3.3
"128","05033",3.9
"129","05035",4.6
"130","05037",4.5
"131","05039",5
"132","05041",5.5
"133","05043",5.8
"134","05045",3.8
"135","05047",4.1
"136","05049",4.4
"137","05051",4.3
"138","05053",3.6
"139","05055",4.3
"140","05057",3.8
"141","05059",4
"142","05061",3.3
"143","05063",5
"144","05065",5.6
"145","05067",6.2
"146","05069",5.6
"147","05071",4.8
"148","05073",5.9
"149","05075",4.4
"150","05077",4.8
"151","05079",4.9
"152","05081",4.7
"153","05083",4.6
"154","05085",3.4
"155","05087",3.2
"156","05089",4
"157","05091",4.2
"158","05093",6.8
"159","05095",4.9
"160","05097",5.3
"161","05099",3.7
"162","05101",3.9
"163","05103",5.1
"164","05105",4.8
"165","05107",5.9
"166","05109",4.3
"167","05111",4.3
"168","05113",4.9
"169","05115",4.6
"170","05117",3.9
"171","05119",3.6
"172","05121",4.7
"173","05123",5.2
"174","05125",3.2
"175","05127",3.8
"176","05129",4.5
"177","05131",3.7
"178","05133",5
"179","05135",5.5
"180","05137",5.2
"181","05139",5.5
"182","05141",7
"183","05143",2.7
"184","05145",5.2
"185","05147",5.5
"186","05149",4.5
"187","06001",4.2
"188","06003",6.5
"189","06005",5.9
"190","06007",6.5
"191","06009",5.6
"192","06011",15.5
"193","06013",4.4
"194","06015",7.5
"195","06017",5.1
"196","06019",9.4
"197","06021",8.2
"198","06023",4.9
"199","06025",23.5
"200","06027",5.2
"201","06029",10.3
"202","06031",10
"203","06033",6.6
"204","06035",6.9
"205","06037",5.2
"206","06039",9.2
"207","06041",3.2
"208","06043",6.9
"209","06045",5.2
"210","06047",10.5
"211","06049",7.8
"212","06051",5.3
"213","06053",7.6
"214","06055",4.3
"215","06057",4.7
"216","06059",4
"217","06061",4.4
"218","06063",9.6
"219","06065",6.1
"220","06067",5.4
"221","06069",6.8
"222","06071",5.7
"223","06073",4.7
"224","06075",3.3
"225","06077",8.1
"226","06079",4.3
"227","06081",3
"228","06083",5
"229","06085",3.8
"230","06087",6.9
"231","06089",6.9
"232","06091",7.6
"233","06093",8.5
"234","06095",5.5
"235","06097",4
"236","06099",8.5
"237","06101",9.6
"238","06103",7.1
"239","06105",7.1
"240","06107",11
"241","06109",6.2
"242","06111",5.2
"243","06113",5.8
"244","06115",8.5
"245","08001",3.6
"246","08003",4.1
"247","08005",3.1
"248","08007",3.3
"249","08009",1.7
"250","08011",3.1
"251","08013",2.7
"252","08014",2.9
"253","08015",2.7
"254","08017",2.3
"255","08019",3.2
"256","08021",4.9
"257","08023",4.9
"258","08025",3.6
"259","08027",3.2
"260","08029",5
"261","08031",3.1
"262","08033",4
"263","08035",2.7
"264","08037",2.8
"265","08039",2.7
"266","08041",3.8
"267","08043",5.3
