county,lat,lon,lefeexp
Adams,-77.22224271,39.87209565,79.9
Allegheny,-79.98619843,40.46735543,78.1
Armstrong,-79.47316899,40.81509526,76.6
Beaver,-80.35107356,40.68349245,76.9
Bedford,-78.49116474,40.00737536,78.3
Berks,-75.93077327,40.41939635,79.3
Blair,-78.34907687,40.48555024,77.1
Bradford,-76.51825624,41.79117814,78.2
Bucks,-75.11291241,40.33501133,79.9
Butler,-79.91711779,40.91083185,78.8
Cambria,-78.71894174,40.49127491,76.1
Cameron,-78.20916932,41.43880265,78.8
Carbon,-75.71107039,40.91936701,77.0
Centre,-77.82500112,40.9193135,83.0
Chester,-75.75626498,39.97487056,81.4
Clarion,-79.42483608,41.19279129,78.4
Clearfield,-78.47558343,41.000429,77.3
Clinton,-77.6428376,41.23286274,78.1
Columbia,-76.4100218,41.04912086,78.5
Crawford,-80.11321083,41.68546907,77.1
Cumberland,-77.26866271,40.16759839,80.0
Dauphin,-76.77960568,40.41974636,78.7
Delaware,-75.40627712,39.91657867,78.6
Elk,-78.64947713,41.42819416,78.4
Erie,-80.0407591,41.99413787,77.7
Fayette,-79.65189635,39.9194478,75.2
Forest,-79.23780995,41.51357876,78.8
Franklin,-77.72398845,39.92786197,79.3
Fulton,-78.11485045,39.92487511,79.0
Greene,-80.22943817,39.85480393,75.6
Huntingdon,-77.9827661,40.416105,78.5
Indiana,-79.09333493,40.65295497,78.2
Jefferson,-79.00101814,41.13139091,77.6
Juniata,-77.405775,40.53433008,79.8
Lackawanna,-75.61218345,41.43910064,76.9
Lancaster,-76.25138768,40.04590796,80.5
Lawrence,-80.33754114,40.99325035,76.3
Lebanon,-76.46182575,40.367597,78.9
Lehigh,-75.60099481,40.61464794,79.6
Luzerne,-75.9919961,41.17836439,76.3
Lycoming,-77.06942457,41.34459792,78.1
McKean,-78.5712202,41.81037074,76.8
Mercer,-80.26009411,41.30237777,76.8
Mifflin,-77.62003089,40.61274928,77.8
Monroe,-75.34083603,41.06091787,78.9
Montgomery,-75.37252001,40.20989874,80.9
Montour,-76.66470527,41.02801824,78.6
Northampton,-75.31263726,40.7545954,80.1
Northumberland,-76.71188423,40.85150926,77.0
Perry,-77.25907385,40.40415317,77.7
Philadelphia,-75.140236,40.00444354,76.4
Pike,-75.03270924,41.332572,80.0
Potter,-77.89879229,41.74420644,78.0
Schuylkill,-76.22332385,40.70751243,75.7
Snyder,-77.07255968,40.77113737,81.1
Somerset,-79.03100206,39.97146299,77.8
Sullivan,-76.5147922,41.4480994,77.5
Susquehanna,-75.80250303,41.8205686,78.1
Tioga,-77.25788076,41.77333834,78.7
Union,-77.06415803,40.96473131,82.6
Venango,-79.76286561,41.40341259,77.4
Warren,-79.27858158,41.81675237,78.7
Washington,-80.25180083,40.19109663,77.0
Wayne,-75.3051535,41.64969805,78.6
Westmoreland,-79.47134118,40.310315,77.9
Wyoming,-76.01813003,41.51892488,74.9
York,-76.72576052,39.92192531,79.0
