"","Population","Income","Illiteracy","Life Exp","Murder","HS Grad","Frost","Area","State","STlon","STlat","Division","STName","Region"
"Alabama",3615,3624,2.1,69.05,15.1,41.3,20,51609,"AL",-86.7509,32.5901,"East South Central","Alabama","South"
"Alaska",365,6315,1.5,69.31,11.3,66.7,152,589757,"AK",-127.25,49.25,"Pacific","Alaska","West"
"Arizona",2212,4530,1.8,70.55,7.8,58.1,15,113909,"AZ",-111.625,34.2192,"Mountain","Arizona","West"
"Arkansas",2110,3378,1.9,70.66,10.1,39.9,65,53104,"AR",-92.2992,34.7336,"West South Central","Arkansas","South"
"California",21198,5114,1.1,71.71,10.3,62.6,20,158693,"CA",-119.773,36.5341,"Pacific","California","West"
"Colorado",2541,4884,0.7,72.06,6.8,63.9,166,104247,"CO",-105.513,38.6777,"Mountain","Colorado","West"
"Connecticut",3100,5348,1.1,72.48,3.1,56,139,5009,"CT",-72.3573,41.5928,"New England","Connecticut","Northeast"
"Delaware",579,4809,0.9,70.06,6.2,54.6,103,2057,"DE",-74.9841,38.6777,"South Atlantic","Delaware","South"
"Florida",8277,4815,1.3,70.66,10.7,52.6,11,58560,"FL",-81.685,27.8744,"South Atlantic","Florida","South"
"Georgia",4931,4091,2,68.54,13.9,40.6,60,58876,"GA",-83.3736,32.3329,"South Atlantic","Georgia","South"
"Hawaii",868,4963,1.9,73.6,6.2,61.9,0,6450,"HI",-126.25,31.75,"Pacific","Hawaii","West"
"Idaho",813,4119,0.6,71.87,5.3,59.5,126,83557,"ID",-113.93,43.5648,"Mountain","Idaho","West"
"Illinois",11197,5107,0.9,70.14,10.3,52.6,127,56400,"IL",-89.3776,40.0495,"East North Central","Illinois","North Central"
"Indiana",5313,4458,0.7,70.88,7.1,52.9,122,36291,"IN",-86.0808,40.0495,"East North Central","Indiana","North Central"
"Iowa",2861,4628,0.5,72.56,2.3,59,140,56290,"IA",-93.3714,41.9358,"West North Central","Iowa","North Central"
"Kansas",2280,4669,0.6,72.58,4.5,59.9,114,82264,"KS",-98.1156,38.4204,"West North Central","Kansas","North Central"
"Kentucky",3387,3712,1.6,70.1,10.6,38.5,95,40395,"KY",-84.7674,37.3915,"East South Central","Kentucky","South"
"Louisiana",3806,3545,2.8,68.76,13.2,42.2,12,48523,"LA",-92.2724,30.6181,"West South Central","Louisiana","South"
"Maine",1058,3694,0.7,70.39,2.7,54.7,161,33215,"ME",-68.9801,45.6226,"New England","Maine","Northeast"
"Maryland",4122,5299,0.9,70.22,8.5,52.3,101,10577,"MD",-76.6459,39.2778,"South Atlantic","Maryland","South"
"Massachusetts",5814,4755,1.1,71.83,3.3,58.5,103,8257,"MA",-71.58,42.3645,"New England","Massachusetts","Northeast"
"Michigan",9111,4751,0.9,70.63,11.1,52.8,125,58216,"MI",-84.687,43.1361,"East North Central","Michigan","North Central"
"Minnesota",3921,4675,0.6,72.96,2.3,57.6,160,84068,"MN",-94.6043,46.3943,"West North Central","Minnesota","North Central"
"Mississippi",2341,3098,2.4,68.09,12.5,41,50,47716,"MS",-89.8065,32.6758,"East South Central","Mississippi","South"
"Missouri",4767,4254,0.8,70.69,9.3,48.8,108,69686,"MO",-92.5137,38.3347,"West North Central","Missouri","North Central"
"Montana",746,4347,0.6,70.56,5,59.2,155,147138,"MT",-109.32,46.823,"Mountain","Montana","West"
"Nebraska",1544,4508,0.6,72.6,2.9,59.3,139,77227,"NE",-99.5898,41.3356,"West North Central","Nebraska","North Central"
"Nevada",590,5149,0.5,69.03,11.5,65.2,188,110540,"NV",-116.851,39.1063,"Mountain","Nevada","West"
"New Hampshire",812,4281,0.7,71.23,3.3,57.6,174,9304,"NH",-71.3924,43.3934,"New England","New Hampshire","Northeast"
"New Jersey",7333,5237,1.1,70.93,5.2,52.5,115,7836,"NJ",-74.2336,39.9637,"Middle Atlantic","New Jersey","Northeast"
"New Mexico",1144,3601,2.2,70.32,9.7,55.2,120,121666,"NM",-105.942,34.4764,"Mountain","New Mexico","West"
"New York",18076,4903,1.4,70.55,10.9,52.7,82,49576,"NY",-75.1449,43.1361,"Middle Atlantic","New York","Northeast"
"North Carolina",5441,3875,1.8,69.21,11.1,38.5,80,52586,"NC",-78.4686,35.4195,"South Atlantic","North Carolina","South"
"North Dakota",637,5087,0.8,72.78,1.4,50.3,186,70665,"ND",-100.099,47.2517,"West North Central","North Dakota","North Central"
"Ohio",10735,4561,0.8,70.82,7.4,53.2,124,41222,"OH",-82.5963,40.221,"East North Central","Ohio","North Central"
"Oklahoma",2715,3983,1.1,71.42,6.4,51.6,82,69919,"OK",-97.1239,35.5053,"West South Central","Oklahoma","South"
"Oregon",2284,4660,0.6,72.13,4.2,60,44,96981,"OR",-120.068,43.9078,"Pacific","Oregon","West"
"Pennsylvania",11860,4449,1,70.43,6.1,50.2,126,45333,"PA",-77.45,40.9069,"Middle Atlantic","Pennsylvania","Northeast"
"Rhode Island",931,4558,1.3,71.9,2.4,46.4,127,1214,"RI",-71.1244,41.5928,"New England","Rhode Island","Northeast"
"South Carolina",2816,3635,2.3,67.96,11.6,37.8,65,31055,"SC",-80.5056,33.619,"South Atlantic","South Carolina","South"
"South Dakota",681,4167,0.5,72.08,1.7,53.3,172,77047,"SD",-99.7238,44.3365,"West North Central","South Dakota","North Central"
"Tennessee",4173,3821,1.7,70.11,11,41.8,70,42244,"TN",-86.456,35.6767,"East South Central","Tennessee","South"
"Texas",12237,4188,2.2,70.9,12.2,47.4,35,267339,"TX",-98.7857,31.3897,"West South Central","Texas","South"
"Utah",1203,4022,0.6,72.9,4.5,67.3,137,84916,"UT",-111.33,39.1063,"Mountain","Utah","West"
"Vermont",472,3907,0.6,71.64,5.5,57.1,168,9609,"VT",-72.545,44.2508,"New England","Vermont","Northeast"
"Virginia",4981,4701,1.4,70.08,9.5,47.8,85,40815,"VA",-78.2005,37.563,"South Atlantic","Virginia","South"
"Washington",3559,4864,0.6,71.72,4.3,63.5,32,68192,"WA",-119.746,47.4231,"Pacific","Washington","West"
"West Virginia",1799,3617,1.4,69.48,6.7,41.6,100,24181,"WV",-80.6665,38.4204,"South Atlantic","West Virginia","South"
"Wisconsin",4589,4468,0.7,72.48,3,54.5,149,56154,"WI",-89.9941,44.5937,"East North Central","Wisconsin","North Central"
"Wyoming",376,4566,0.6,70.29,6.9,62.9,173,97914,"WY",-107.256,43.0504,"Mountain","Wyoming","West"
