PA,SZ,AG,Sex,Pop,Time
Ang Mo Kio,Cheng San,0_to_4,Males,810,2000
Ang Mo Kio,Cheng San,0_to_4,Females,700,2000
Ang Mo Kio,Cheng San,5_to_9,Males,1030,2000
Ang Mo Kio,Cheng San,5_to_9,Females,960,2000
Ang Mo Kio,Cheng San,10_to_14,Males,970,2000
Ang Mo Kio,Cheng San,10_to_14,Females,890,2000
Ang Mo Kio,Cheng San,15_to_19,Males,1160,2000
Ang Mo Kio,Cheng San,15_to_19,Females,1100,2000
Ang Mo Kio,Cheng San,20_to_24,Males,1380,2000
Ang Mo Kio,Cheng San,20_to_24,Females,1320,2000
Ang Mo Kio,Cheng San,25_to_29,Males,1470,2000
Ang Mo Kio,Cheng San,25_to_29,Females,1390,2000
Ang Mo Kio,Cheng San,30_to_34,Males,1340,2000
Ang Mo Kio,Cheng San,30_to_34,Females,1260,2000
Ang Mo Kio,Cheng San,35_to_39,Males,1420,2000
Ang Mo Kio,Cheng San,35_to_39,Females,1260,2000
Ang Mo Kio,Cheng San,40_to_44,Males,1350,2000
Ang Mo Kio,Cheng San,40_to_44,Females,1450,2000
Ang Mo Kio,Cheng San,45_to_49,Males,1380,2000
Ang Mo Kio,Cheng San,45_to_49,Females,1590,2000
Ang Mo Kio,Cheng San,50_to_54,Males,1310,2000
Ang Mo Kio,Cheng San,50_to_54,Females,1260,2000
Ang Mo Kio,Cheng San,55_to_59,Males,750,2000
Ang Mo Kio,Cheng San,55_to_59,Females,810,2000
Ang Mo Kio,Cheng San,60_to_64,Males,650,2000
Ang Mo Kio,Cheng San,60_to_64,Females,650,2000
Ang Mo Kio,Cheng San,65_to_69,Males,480,2000
Ang Mo Kio,Cheng San,65_to_69,Females,460,2000
Ang Mo Kio,Cheng San,70_to_74,Males,300,2000
Ang Mo Kio,Cheng San,70_to_74,Females,390,2000
Ang Mo Kio,Cheng San,75_to_79,Males,150,2000
Ang Mo Kio,Cheng San,75_to_79,Females,200,2000
Ang Mo Kio,Cheng San,80_to_84,Males,90,2000
Ang Mo Kio,Cheng San,80_to_84,Females,130,2000
Ang Mo Kio,Cheng San,85_and_over,Males,50,2000
Ang Mo Kio,Cheng San,85_and_over,Females,110,2000
Ang Mo Kio,Chong Boon,0_to_4,Males,860,2000
Ang Mo Kio,Chong Boon,0_to_4,Females,740,2000
Ang Mo Kio,Chong Boon,5_to_9,Males,1020,2000
Ang Mo Kio,Chong Boon,5_to_9,Females,960,2000
Ang Mo Kio,Chong Boon,10_to_14,Males,940,2000
Ang Mo Kio,Chong Boon,10_to_14,Females,900,2000
Ang Mo Kio,Chong Boon,15_to_19,Males,1130,2000
Ang Mo Kio,Chong Boon,15_to_19,Females,1070,2000
Ang Mo Kio,Chong Boon,20_to_24,Males,1410,2000
Ang Mo Kio,Chong Boon,20_to_24,Females,1470,2000
Ang Mo Kio,Chong Boon,25_to_29,Males,1600,2000
Ang Mo Kio,Chong Boon,25_to_29,Females,1510,2000
Ang Mo Kio,Chong Boon,30_to_34,Males,1360,2000
Ang Mo Kio,Chong Boon,30_to_34,Females,1240,2000
Ang Mo Kio,Chong Boon,35_to_39,Males,1370,2000
Ang Mo Kio,Chong Boon,35_to_39,Females,1300,2000
Ang Mo Kio,Chong Boon,40_to_44,Males,1320,2000
Ang Mo Kio,Chong Boon,40_to_44,Females,1430,2000
Ang Mo Kio,Chong Boon,45_to_49,Males,1390,2000
Ang Mo Kio,Chong Boon,45_to_49,Females,1470,2000
Ang Mo Kio,Chong Boon,50_to_54,Males,1280,2000
Ang Mo Kio,Chong Boon,50_to_54,Females,1380,2000
Ang Mo Kio,Chong Boon,55_to_59,Males,900,2000
Ang Mo Kio,Chong Boon,55_to_59,Females,910,2000
Ang Mo Kio,Chong Boon,60_to_64,Males,750,2000
Ang Mo Kio,Chong Boon,60_to_64,Females,700,2000
Ang Mo Kio,Chong Boon,65_to_69,Males,530,2000
Ang Mo Kio,Chong Boon,65_to_69,Females,530,2000
Ang Mo Kio,Chong Boon,70_to_74,Males,340,2000
Ang Mo Kio,Chong Boon,70_to_74,Females,360,2000
Ang Mo Kio,Chong Boon,75_to_79,Males,170,2000
Ang Mo Kio,Chong Boon,75_to_79,Females,220,2000
Ang Mo Kio,Chong Boon,80_to_84,Males,100,2000
Ang Mo Kio,Chong Boon,80_to_84,Females,130,2000
Ang Mo Kio,Chong Boon,85_and_over,Males,60,2000
Ang Mo Kio,Chong Boon,85_and_over,Females,120,2000
Ang Mo Kio,Kebun Bahru,0_to_4,Males,720,2000
Ang Mo Kio,Kebun Bahru,0_to_4,Females,660,2000
Ang Mo Kio,Kebun Bahru,5_to_9,Males,830,2000
Ang Mo Kio,Kebun Bahru,5_to_9,Females,910,2000
Ang Mo Kio,Kebun Bahru,10_to_14,Males,710,2000
Ang Mo Kio,Kebun Bahru,10_to_14,Females,820,2000
Ang Mo Kio,Kebun Bahru,15_to_19,Males,910,2000
Ang Mo Kio,Kebun Bahru,15_to_19,Females,870,2000
Ang Mo Kio,Kebun Bahru,20_to_24,Males,1060,2000
Ang Mo Kio,Kebun Bahru,20_to_24,Females,1070,2000
Ang Mo Kio,Kebun Bahru,25_to_29,Males,1260,2000
Ang Mo Kio,Kebun Bahru,25_to_29,Females,1180,2000
Ang Mo Kio,Kebun Bahru,30_to_34,Males,1100,2000
Ang Mo Kio,Kebun Bahru,30_to_34,Females,1020,2000
Ang Mo Kio,Kebun Bahru,35_to_39,Males,1200,2000
Ang Mo Kio,Kebun Bahru,35_to_39,Females,1060,2000
Ang Mo Kio,Kebun Bahru,40_to_44,Males,1120,2000
Ang Mo Kio,Kebun Bahru,40_to_44,Females,1190,2000
Ang Mo Kio,Kebun Bahru,45_to_49,Males,1120,2000
Ang Mo Kio,Kebun Bahru,45_to_49,Females,1200,2000
Ang Mo Kio,Kebun Bahru,50_to_54,Males,950,2000
Ang Mo Kio,Kebun Bahru,50_to_54,Females,1040,2000
Ang Mo Kio,Kebun Bahru,55_to_59,Males,670,2000
Ang Mo Kio,Kebun Bahru,55_to_59,Females,710,2000
Ang Mo Kio,Kebun Bahru,60_to_64,Males,600,2000
Ang Mo Kio,Kebun Bahru,60_to_64,Females,570,2000
Ang Mo Kio,Kebun Bahru,65_to_69,Males,450,2000
Ang Mo Kio,Kebun Bahru,65_to_69,Females,460,2000
Ang Mo Kio,Kebun Bahru,70_to_74,Males,290,2000
Ang Mo Kio,Kebun Bahru,70_to_74,Females,330,2000
Ang Mo Kio,Kebun Bahru,75_to_79,Males,150,2000
Ang Mo Kio,Kebun Bahru,75_to_79,Females,200,2000
Ang Mo Kio,Kebun Bahru,80_to_84,Males,90,2000
Ang Mo Kio,Kebun Bahru,80_to_84,Females,110,2000
Ang Mo Kio,Kebun Bahru,85_and_over,Males,60,2000
Ang Mo Kio,Kebun Bahru,85_and_over,Females,120,2000
Ang Mo Kio,Seletar,0_to_4,Males,0,2000
Ang Mo Kio,Seletar,0_to_4,Females,0,2000
Ang Mo Kio,Seletar,5_to_9,Males,0,2000
Ang Mo Kio,Seletar,5_to_9,Females,0,2000
Ang Mo Kio,Seletar,10_to_14,Males,0,2000
Ang Mo Kio,Seletar,10_to_14,Females,0,2000
Ang Mo Kio,Seletar,15_to_19,Males,0,2000
Ang Mo Kio,Seletar,15_to_19,Females,0,2000
Ang Mo Kio,Seletar,20_to_24,Males,0,2000
Ang Mo Kio,Seletar,20_to_24,Females,0,2000
